Date,Open,High,Low,Close,Currency
2010-08-04,1.7581,1.7668,1.7497,1.7504,BRL
2010-08-05,1.7517,1.7612,1.7491,1.7523,BRL
2010-08-06,1.7523,1.7633,1.75,1.758,BRL
2010-08-09,1.7573,1.7654,1.747,1.746,BRL
2010-08-10,1.746,1.7639,1.7478,1.7524,BRL
2010-08-11,1.7524,1.7763,1.7524,1.7738,BRL
2010-08-12,1.7739,1.7823,1.7658,1.7682,BRL
2010-08-13,1.7682,1.777,1.7654,1.7718,BRL
2010-08-16,1.7721,1.7737,1.7522,1.7567,BRL
2010-08-17,1.754,1.7604,1.7472,1.7544,BRL
2010-08-18,1.7544,1.7579,1.746,1.7513,BRL
2010-08-19,1.7531,1.766,1.7506,1.7564,BRL
2010-08-20,1.7564,1.766,1.7537,1.7559,BRL
2010-08-23,1.7578,1.7708,1.7498,1.769,BRL
2010-08-24,1.769,1.7824,1.7617,1.7708,BRL
2010-08-25,1.7688,1.7776,1.7618,1.7633,BRL
2010-08-26,1.7633,1.7661,1.7563,1.7613,BRL
2010-08-27,1.7613,1.7657,1.7485,1.749,BRL
2010-08-30,1.7494,1.762,1.7481,1.7587,BRL
2010-08-31,1.7587,1.7696,1.7516,1.7548,BRL
2010-09-01,1.7544,1.7629,1.7373,1.7447,BRL
2010-09-02,1.7447,1.7495,1.724,1.7253,BRL
2010-09-03,1.726,1.7367,1.7149,1.7322,BRL
2010-09-06,1.7322,1.7379,1.7218,1.7267,BRL
2010-09-07,1.7267,1.7341,1.7257,1.7318,BRL
2010-09-08,1.7292,1.7351,1.7193,1.7253,BRL
2010-09-09,1.7249,1.7295,1.7185,1.7198,BRL
2010-09-10,1.7195,1.7269,1.7151,1.7213,BRL
2010-09-13,1.7213,1.7225,1.709,1.7095,BRL
2010-09-14,1.7095,1.7175,1.7025,1.7095,BRL
2010-09-15,1.7095,1.7293,1.7066,1.7232,BRL
2010-09-16,1.7232,1.7253,1.7109,1.7118,BRL
2010-09-17,1.7118,1.7232,1.7092,1.7212,BRL
2010-09-20,1.7212,1.7356,1.7123,1.7323,BRL
2010-09-21,1.7332,1.7378,1.709,1.7111,BRL
2010-09-22,1.7111,1.7263,1.7028,1.7182,BRL
2010-09-23,1.7182,1.7273,1.7131,1.7223,BRL
2010-09-24,1.7223,1.7268,1.7067,1.7088,BRL
2010-09-27,1.7119,1.717,1.7052,1.7094,BRL
2010-09-28,1.7094,1.7158,1.704,1.7075,BRL
2010-09-29,1.7075,1.7149,1.6973,1.7,BRL
2010-09-30,1.7,1.7073,1.6858,1.6871,BRL
2010-10-01,1.6871,1.691,1.6723,1.6892,BRL
2010-10-04,1.6894,1.7038,1.681,1.6972,BRL
2010-10-05,1.6972,1.7019,1.6628,1.6631,BRL
2010-10-06,1.6631,1.6902,1.6619,1.6779,BRL
2010-10-07,1.678,1.6901,1.6671,1.6809,BRL
2010-10-08,1.6808,1.6924,1.6634,1.6643,BRL
2010-10-11,1.6653,1.6711,1.6607,1.6701,BRL
2010-10-12,1.6711,1.6716,1.6697,1.6697,BRL
2010-10-13,1.6562,1.6619,1.6507,1.6512,BRL
2010-10-14,1.6524,1.6659,1.6433,1.6595,BRL
2010-10-15,1.6595,1.6676,1.6507,1.6651,BRL
2010-10-18,1.665,1.6779,1.6586,1.672,BRL
2010-10-19,1.672,1.7002,1.6725,1.6821,BRL
2010-10-20,1.6821,1.6834,1.6696,1.6757,BRL
